document_id,party_id,role,name_row_id
zaf-eepbip-maf,mitigation-action-facility,author,mitigation-action-facility.name.1
zaf-eepbip-giz-profile-2023,giz,author,giz.name.1
zaf-eepbip-portal,energy-efficiency-in-public-buildings-and-infrastructure-programme,author,energy-efficiency-in-public-buildings-and-infrastructure-programme.name.1
zaf-dtic-parliament-nev-2025,department-of-trade-industry-and-competition,author,department-of-trade-industry-and-competition.name.1
idn-jetp-joint-statement-2022,government-of-indonesia,author,government-of-indonesia.name.1
idn-jetp-joint-statement-2022,international-partners-group,author,international-partners-group.name.1
idn-jetp-reports-2025-landing,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-jetp-progress-report-2025,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-jetp-energy-efficiency-electrification-2025,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-jetp-captive-power-study-2025,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-jetp-just-transition-study-2025,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-jetp-guarantees-insurance-2025,oecd-cefim-programme,author,oecd-cefim-programme.name.1
idn-jetp-small-scale-renewables-finance-2025,oecd-cefim-programme,author,oecd-cefim-programme.name.1
idn-jetp-carbon-pricing-2025,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-jetp-carbon-pricing-2025,international-energy-agency,author,international-energy-agency.name.1
