country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,109,South African-German Energy Programme 5 (SAGEN 5),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR035"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,110,Leapfrogging to Zero Emission Transport in Sub Saharan Africa,register_row,A. Planned,named,"Overall - Data, Unique ID GR036"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,111,Integrated NDC Implementation Support in South Africa,register_row,D. Completed,named,"Overall - Data, Unique ID GR037"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,112,Hydrogen Ramp-Up Programme (H2Uppp),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR038"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,113,Policy-based loan III,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR039"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,114,Support Programme for the Just Energy Transition (JET) III,register_row,A. Planned,named,"Overall - Data, Unique ID GR040"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,115,Support Programme for the Just Energy Transition (JET) III - Accompanying measure,register_row,A. Planned,named,"Overall - Data, Unique ID GR041"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,116,(CERF23ZA1O) Water catchment in Grootvlei area,register_row,D. Completed,named,"Overall - Data, Unique ID NL001.1"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,117,(CERF24ZA1I) Waterstudy Horticulture Grootvlei,register_row,D. Completed,named,"Overall - Data, Unique ID NL001.2"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,118,"""Study: Repurposing Grootvlei power station into a sustainable and agriculture area",register_row,D. Completed,named,"Overall - Data, Unique ID NL001.3"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,119,Community Engagement Grootvlei,register_row,D. Completed,named,"Overall - Data, Unique ID NL001.4"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,120,Grootvlei Horticulture Expertise Facility Training Impact Cluster,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL001.5"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,121,Subsidy Greenhouse EARN,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL001.6"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,122,Grootvlei Horticulture Demonstration Facility Development,register_row,D. Completed,named,"Overall - Data, Unique ID NL001.7"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,123,"""Grootvlei Horticulture Demonstration Facility Development 2",register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL001.8"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,124,Exchange programme on just transition and agricultural developments,register_row,D. Completed,named,"Overall - Data, Unique ID NL001.9"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,125,JT-Mpumalanga Community Development: Youth in Action,register_row,D. Completed,named,"Overall - Data, Unique ID NL002"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,126,Municipalities Technical Assistance Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL003"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,127,Green Hydrogen Development Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL004"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,128,Green Hydrogen Development Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL005"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,129,JT-Mpumalanga Skills Development: Mining Sector Social Dialogue Skills,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL006"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,130,Sustainable Solar Job Creation,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL007"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,131,"GIS based, sparial overview Grootvlei Catchment aea",register_row,D. Completed,named,"Overall - Data, Unique ID NL008"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,132,Economic Drivers Study,register_row,B. Approved,named,"Overall - Data, Unique ID NL009"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,133,Baseline study Grootvlei,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID NL010"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,134,Liaison Grootvlei,register_row,A. Planned,named,"Overall - Data, Unique ID NL011"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,135,Alternative Waste Treatment Technology Johannesburg,register_row,B. Approved,named,"Overall - Data, Unique ID NL012"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,136,Municipal Climate Resilience Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID SW001"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,137,Municipalities Project Preparation Initiative,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID SW002"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,138,Municipal Climate Resilience Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID SW003"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,139,Skills Capacity Development Initiative,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID SW004"
